"Disp (mm)" "Load (kN)" "d (raw)" "f (raw)"
2.2047 3.1888 2.2047 3.4375
2.1880 3.1368 2.1881 3.3855
2.1714 3.0878 2.1714 3.3366
2.1547 3.0397 2.1548 3.2884
2.1381 2.9920 2.1381 3.2408
2.1214 2.9460 2.1214 3.1948
2.1048 2.9000 2.1048 3.1487
2.0880 2.8546 2.0881 3.1033
2.0714 2.8119 2.0714 3.0606
2.0547 2.7672 2.0547 3.0159
2.0380 2.7240 2.0381 2.9728
2.0214 2.6821 2.0214 2.9308
2.0047 2.6398 2.0048 2.8886
1.9880 2.5983 1.9881 2.8471
1.9714 2.5568 1.9714 2.8055
1.9547 2.5150 1.9548 2.7637
1.9380 2.4748 1.9381 2.7235
1.9214 2.4342 1.9214 2.6830
1.9048 2.3953 1.9048 2.6440
1.8880 2.3569 1.8881 2.6057
1.8714 2.3187 1.8714 2.5675
1.8547 2.2809 1.8548 2.5297
1.8381 2.2431 1.8381 2.4919
1.8214 2.2068 1.8214 2.4555
1.8048 2.1701 1.8048 2.4189
1.7880 2.1334 1.7881 2.3822
1.7714 2.0972 1.7714 2.3459
1.7547 2.0629 1.7548 2.3117
1.7381 2.0281 1.7381 2.2769
1.7214 1.9935 1.7214 2.2422
1.7047 1.9587 1.7048 2.2075
1.6880 1.9236 1.6880 2.1724
1.6714 1.8906 1.6714 2.1393
1.6548 1.8571 1.6548 2.1058
1.6381 1.8243 1.6381 2.0730
1.6214 1.7908 1.6214 2.0396
1.6048 1.7581 1.6048 2.0068
1.5880 1.7262 1.5881 1.9750
1.5714 1.6942 1.5714 1.9429
1.5547 1.6626 1.5548 1.9113
1.5380 1.6312 1.5381 1.8799
1.5214 1.5990 1.5214 1.8477
1.5047 1.5674 1.5047 1.8162
1.4880 1.5360 1.4881 1.7847
1.4714 1.5046 1.4715 1.7533
1.4547 1.4733 1.4548 1.7220
1.4381 1.4427 1.4381 1.6915
1.4214 1.4117 1.4214 1.6604
1.4047 1.3821 1.4047 1.6308
1.3880 1.3514 1.3881 1.6002
1.3714 1.3218 1.3714 1.5706
1.3547 1.2919 1.3547 1.5407
1.3381 1.2621 1.3381 1.5108
1.3214 1.2319 1.3214 1.4806
1.3047 1.2016 1.3048 1.4503
1.2880 1.1725 1.2881 1.4212
1.2714 1.1429 1.2714 1.3916
1.2547 1.1156 1.2548 1.3643
1.2381 1.0867 1.2381 1.3355
1.2214 1.0578 1.2214 1.3065
1.2047 1.0297 1.2048 1.2784
1.1881 1.0029 1.1881 1.2516
1.1714 0.9753 1.1714 1.2240
1.1547 0.9477 1.1548 1.1965
1.1380 0.9201 1.1381 1.1689
1.1214 0.8929 1.1214 1.1416
1.1047 0.8659 1.1047 1.1147
1.0880 0.8398 1.0881 1.0885
1.0714 0.8144 1.0714 1.0631
1.0548 0.7886 1.0548 1.0373
1.0380 0.7631 1.0381 1.0119
1.0214 0.7384 1.0214 0.9871
1.0047 0.7133 1.0047 0.9620
0.9881 0.6885 0.9881 0.9372
0.9714 0.6638 0.9714 0.9126
0.9547 0.6396 0.9548 0.8883
0.9380 0.6155 0.9381 0.8642
0.9214 0.5912 0.9214 0.8399
0.9047 0.5671 0.9047 0.8158
